                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4175,                 2.8827,                 1.5948,                0.00673,                0.95493,                0.35183,                0.19901,                  1.158,                 2.9988,                 1.2994,                 0.0026,                 0.0026,                 0.0026
                      2,                 1.1915,                 1.4997,                 1.2937,                0.87871,                0.31857,                0.66087,                0.38098,                 1.1799,                 2.5546,                 1.2323,              0.0052895,              0.0052895,              0.0052895
                      3,                  1.189,                 1.2755,                  1.241,                0.85109,                0.54934,                0.70573,                0.40875,                  1.362,                  1.996,                 1.3534,              0.0079683,              0.0079683,              0.0079683
                      4,                 1.2485,                 1.2253,                  1.269,                0.58337,                0.52765,                0.55812,                0.31206,                  1.491,                 1.7294,                 1.5084,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.2692,                 1.1796,                 1.2905,                0.40869,                 0.3885,                0.33077,                0.16507,                  1.882,                 2.7385,                 2.0347,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.2706,                 1.1393,                 1.3012,                0.54182,                0.47872,                0.48292,                0.24634,                 1.6283,                 2.4805,                 1.7128,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.2505,                 1.0659,                  1.284,                0.56966,                0.43357,                0.43446,                0.20323,                 1.8211,                 3.0596,                  1.794,               0.009901,               0.009901,               0.009901
                      8,                 1.2419,                  1.021,                 1.2797,                 0.7747,                0.63589,                0.72715,                  0.431,                 1.4525,                 1.2932,                 1.5259,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.2219,                 1.0103,                 1.2721,                 0.6174,                0.49903,                0.52787,                0.28928,                 1.6179,                 2.0234,                 1.6626,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.2013,                0.95915,                 1.2521,                0.66848,                0.56716,                0.60781,                0.34605,                 1.5622,                 2.1417,                 1.5569,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.1938,                0.94969,                 1.2561,                0.76853,                0.64646,                0.72903,                0.45426,                 1.3736,                  1.215,                  1.383,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.2228,                0.94104,                 1.2735,                0.79142,                0.68454,                0.76386,                0.45928,                 1.3622,                  1.116,                 1.3929,               0.009802,               0.009802,               0.009802
                     13,                 1.1856,                0.91461,                 1.2456,                0.68598,                0.46232,                0.54367,                 0.3287,                 1.6189,                 1.7123,                  1.538,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.1791,                0.90372,                 1.2324,                0.77392,                0.66496,                 0.7309,                 0.4125,                  1.535,                 1.2072,                 1.4879,              0.0097624,              0.0097624,              0.0097624
                     15,                  1.176,                0.89481,                 1.2507,                0.82232,                0.74903,                0.82341,                0.52997,                 1.2422,                0.95355,                 1.3254,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.1341,                0.86781,                 1.2238,                0.76056,                0.69846,                0.76007,                0.46512,                 1.3309,                 1.1083,                 1.3804,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.1433,                0.85031,                 1.2264,                 0.8257,                0.71717,                0.79865,                0.50727,                 1.2953,                0.97844,                 1.3312,               0.009703,               0.009703,               0.009703
                     18,                 1.1405,                0.84942,                 1.2236,                0.80102,                0.66938,                0.76563,                0.47365,                 1.4001,                 1.0595,                 1.3693,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.1369,                0.84086,                 1.2245,                0.80759,                0.72727,                0.79938,                 0.5105,                 1.2842,                0.98184,                 1.3229,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.1084,                0.81964,                 1.2022,                0.80741,                0.62549,                0.73667,                0.46707,                 1.3109,                 1.1469,                  1.378,              0.0096436,              0.0096436,              0.0096436
                     21,                  1.122,                 0.8279,                 1.2181,                0.82689,                0.69407,                0.77587,                0.49438,                 1.2787,                 1.0091,                 1.3457,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.1223,                0.80647,                 1.2121,                0.77902,                0.76457,                0.81941,                 0.5277,                  1.248,                 1.0109,                  1.314,               0.009604,               0.009604,               0.009604
                     23,                 1.1193,                0.81343,                 1.2184,                0.80646,                0.74048,                  0.823,                0.52543,                 1.2416,                 1.0186,                 1.2873,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.0931,                0.79563,                 1.1987,                 0.8078,                0.74457,                0.80464,                0.51492,                  1.253,                 1.5587,                 1.3112,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.0982,                0.78695,                 1.2022,                0.79639,                 0.6317,                0.71947,                0.44659,                 1.4123,                 1.2399,                 1.3949,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.0795,                0.76262,                 1.1867,                0.82973,                0.68376,                 0.7713,                0.49954,                 1.2723,                 1.0146,                 1.3321,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.0934,                0.77626,                 1.2028,                0.84704,                0.78313,                0.84814,                0.55096,                 1.2066,                0.83296,                   1.28,               0.009505,               0.009505,               0.009505
                     28,                 1.0814,                0.75665,                  1.187,                0.84542,                0.72805,                0.82389,                0.52939,                  1.216,                0.90326,                 1.2842,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.0729,                 0.7539,                 1.1851,                0.85134,                0.78399,                0.85364,                0.57213,                 1.1836,                0.82887,                 1.2524,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.0736,                0.75463,                 1.1917,                0.85098,                0.75136,                0.83355,                0.54634,                  1.206,                 0.8459,                 1.2676,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.0545,                0.73709,                 1.1721,                0.88336,                0.71018,                0.82802,                0.54733,                 1.2139,                0.88897,                 1.2776,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.0515,                0.73091,                 1.1692,                0.86891,                0.73349,                0.84748,                 0.5582,                 1.2139,                0.83552,                 1.2759,               0.009406,               0.009406,               0.009406
